No,레포지토리_이름,GitHub_URL,분류,용도,개발_목적,주로_사용한_언어,주요_키워드,분석_근거
1,furiosa-sdk,https://github.com/furiosa-ai/furiosa-sdk,Furiosa 공식 SDK·운영 도구,FuriosaAI SDK,Furiosa NPU 개발자가 런타임·컴파일러·도구를 Python 중심으로 사용할 수 있게 제공,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
2,ParallelBench,https://github.com/furiosa-ai/ParallelBench,연구 코드·논문 재현,ParallelBench 연구 코드,Diffusion LLM 병렬 디코딩의 성능·품질 trade-off 분석,Python,research; paper; benchmark; reproducibility; AI,GitHub 목록/설명 확인
3,eta-inversion,https://github.com/furiosa-ai/eta-inversion,시스템 라이브러리·Rust/C/C++ 의존성,Eta Inversion 연구 구현,Diffusion 기반 실제 이미지 편집에서 eta 함수 최적화 연구 재현,Python,Rust; systems; binding; performance; low-level,GitHub 목록/설명 확인
4,ssm-peft,https://github.com/furiosa-ai/ssm-peft,연구 코드·논문 재현,State Space Model PEFT 연구,SSM 계열 모델의 파라미터 효율적 미세조정 기법 검증,Jupyter Notebook,research; paper; benchmark; reproducibility; AI; ssm; peft,GitHub 목록/설명 확인
5,draft-based-approx-llm,https://github.com/furiosa-ai/draft-based-approx-llm,LLM 추론·압축·평가,Draft-based approximate LLM inference,LLM 추론 가속을 위한 draft 기반 근사 추론 연구 구현,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
6,onnxrt,https://github.com/furiosa-ai/onnxrt,AI 런타임·프레임워크 연동,ONNX Runtime Rust binding,ONNX Runtime C API를 Rust에서 사용하기 위한 바인딩,Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,GitHub 목록/설명 확인
7,uncage,https://github.com/furiosa-ai/uncage,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
8,furiosa-models,https://github.com/furiosa-ai/furiosa-models,Furiosa 공식 SDK·운영 도구,Furiosa NPU용 모델 예제·변환 자산,"모델 변환, 컴파일, 실행 검증을 위한 기준 모델을 제공",Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
9,warboy-vision-models,https://github.com/furiosa-ai/warboy-vision-models,비전·응용 데모·RAG,Warboy NPU 비전 모델,Warboy 세대 NPU에서 비전 모델을 실행·검증하기 위한 샘플 모델 관리,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
10,counting-guidance,https://github.com/furiosa-ai/counting-guidance,연구 코드·논문 재현,AI 연구 코드,"논문 기법 재현, 성능 비교, 신규 추론/학습 방법 검증",Python,research; paper; benchmark; reproducibility; AI,저장소명·일반 upstream 특성 기반 추정
11,ssm-state-tuning,https://github.com/furiosa-ai/ssm-state-tuning,연구 코드·논문 재현,AI 연구 코드,"논문 기법 재현, 성능 비교, 신규 추론/학습 방법 검증",Python,research; paper; benchmark; reproducibility; AI; ssm,저장소명·일반 upstream 특성 기반 추정
12,EfficientRollout,https://github.com/furiosa-ai/EfficientRollout,연구 코드·논문 재현,EfficientRollout 연구 코드,RL rollout에서 self-speculative decoding을 시스템 관점으로 최적화,Python,research; paper; benchmark; reproducibility; AI,GitHub 목록/설명 확인
13,async-opd,https://github.com/furiosa-ai/async-opd,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,GitHub 목록/설명 확인
14,TABED,https://github.com/furiosa-ai/TABED,연구 코드·논문 재현,AI 연구 코드,"논문 기법 재현, 성능 비교, 신규 추론/학습 방법 검증",Python,research; paper; benchmark; reproducibility; AI,저장소명·일반 upstream 특성 기반 추정
15,furiosa-apps,https://github.com/furiosa-ai/furiosa-apps,Furiosa 공식 SDK·운영 도구,Furiosa Reference Applications,Furiosa NPU 기반 레퍼런스 애플리케이션과 배포 예제를 제공,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
16,furiosa-opt,https://github.com/furiosa-ai/furiosa-opt,Furiosa 공식 SDK·운영 도구,Furiosa 최적화/컴파일 관련 도구,NPU 실행 성능 최적화와 내부 도구 체계를 Rust 기반으로 구현,Rust,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
17,cocotbext-fcov,https://github.com/furiosa-ai/cocotbext-fcov,하드웨어 설계·검증,Functional coverage extension for cocotb,Python 기반 하드웨어 검증 coverage 수집,Python,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
18,dot-viewer,https://github.com/furiosa-ai/dot-viewer,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,확인 필요,,저장소명·일반 upstream 특성 기반 추정
19,device-api,https://github.com/furiosa-ai/device-api,Furiosa 공식 SDK·운영 도구,Furiosa NPU 공식 구성요소,Furiosa NPU 소프트웨어 스택의 개발·배포·운영 지원,확인 필요,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
20,multi_npu_demo,https://github.com/furiosa-ai/multi_npu_demo,기타·확인 필요,Multi-NPU demo,복수 NPU 구성에서 추론 워크로드 분산·데모 검증,Python,,GitHub 목록/설명 확인
21,helm-charts,https://github.com/furiosa-ai/helm-charts,Furiosa 공식 SDK·운영 도구,Helm charts,Kubernetes 기반 Furiosa 구성요소 설치 자동화,Go Template,FuriosaAI; NPU; SDK; RNGD/Warboy; helm,GitHub 목록/설명 확인
22,libfuriosa-kubernetes,https://github.com/furiosa-ai/libfuriosa-kubernetes,Furiosa 공식 SDK·운영 도구,Furiosa NPU Kubernetes stack library,Kubernetes 환경에서 Furiosa NPU 리소스를 관리하기 위한 공통 라이브러리 제공,Go,FuriosaAI; NPU; SDK; RNGD/Warboy; kubernetes,GitHub 목록/설명 확인
23,furiosa-client,https://github.com/furiosa-ai/furiosa-client,Furiosa 공식 SDK·운영 도구,Furiosa client library,Furiosa 서비스·런타임과 연동하는 클라이언트 기능 제공,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
24,mlperf-postprocess,https://github.com/furiosa-ai/mlperf-postprocess,기타·확인 필요,MLPerf post-processing,MLPerf 결과 후처리와 성능 제출/분석 자동화,Python,mlperf,GitHub 목록/설명 확인
25,torch-fx-rs,https://github.com/furiosa-ai/torch-fx-rs,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,저장소명·일반 upstream 특성 기반 추정
26,tokio-uring,https://github.com/furiosa-ai/tokio-uring,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
27,dvcon2024-functional-coverage-closure-with-python,https://github.com/furiosa-ai/dvcon2024-functional-coverage-closure-with-python,하드웨어 설계·검증,DVCon 2024 coverage tutorial/code,Python 기반 functional coverage closure 사례 재현,Python,hardware-verification; RISC-V; DV; coverage; simulation; rag,GitHub 목록/설명 확인
28,furiosa-smi-go,https://github.com/furiosa-ai/furiosa-smi-go,Furiosa 공식 SDK·운영 도구,Furiosa SMI Go binding/tooling,NPU 상태 조회와 운영 자동화를 Go 환경에서 지원,Go,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
29,vllm,https://github.com/furiosa-ai/vllm,LLM 추론·압축·평가,vLLM fork,LLM serving/NPU 연동/성능 실험을 위한 upstream 기반 작업,Python,LLM; inference; serving; quantization; benchmark; vllm,GitHub 목록/설명 확인
30,IbED,https://github.com/furiosa-ai/IbED,연구 코드·논문 재현,AI 연구 코드,"논문 기법 재현, 성능 비교, 신규 추론/학습 방법 검증",Python,research; paper; benchmark; reproducibility; AI,저장소명·일반 upstream 특성 기반 추정
31,furiosa-perf,https://github.com/furiosa-ai/furiosa-perf,Furiosa 공식 SDK·운영 도구,Furiosa 성능 측정 도구,NPU 추론 처리량·지연시간·성능 회귀를 측정,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
32,furiosa-feature-discovery,https://github.com/furiosa-ai/furiosa-feature-discovery,Furiosa 공식 SDK·운영 도구,NPU feature discovery,노드의 NPU 기능·속성을 탐지해 Kubernetes 스케줄링/운영에 활용,Rust,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
33,tract,https://github.com/furiosa-ai/tract,AI 런타임·프레임워크 연동,ONNX/TensorFlow inference toolkit fork,경량 추론·모델 파싱 경로 실험,Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,GitHub 목록/설명 확인
34,onnxrt-sys,https://github.com/furiosa-ai/onnxrt-sys,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,저장소명·일반 upstream 특성 기반 추정
35,dot-graph,https://github.com/furiosa-ai/dot-graph,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Rust,,저장소명·일반 upstream 특성 기반 추정
36,agent_skills,https://github.com/furiosa-ai/agent_skills,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
37,onnxruntime,https://github.com/furiosa-ai/onnxruntime,AI 런타임·프레임워크 연동,ONNX Runtime fork,NPU/런타임 연동을 위한 ONNX Runtime 수정·검증,C++,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,GitHub 목록/설명 확인
38,furiosa-cli,https://github.com/furiosa-ai/furiosa-cli,Furiosa 공식 SDK·운영 도구,Furiosa CLI,개발·운영자가 커맨드라인에서 장치/런타임/모델 관련 작업을 수행,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
39,smart-cctv-demo,https://github.com/furiosa-ai/smart-cctv-demo,비전·응용 데모·RAG,Smart CCTV demo,NPU 기반 영상 분석/객체탐지 레퍼런스 데모,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
40,furiosa-ai.github.io,https://github.com/furiosa-ai/furiosa-ai.github.io,Furiosa 공식 SDK·운영 도구,GitHub Pages site,문서·기술 페이지 공개를 위한 정적 웹사이트,HTML,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
41,yolov5s,https://github.com/furiosa-ai/yolov5s,비전·응용 데모·RAG,YOLOv5s model fork,경량 객체탐지 모델 최적화·검증,Python,computer-vision; object-detection; demo; application; yolo,GitHub 목록/설명 확인
42,furiosa-device-plugin,https://github.com/furiosa-ai/furiosa-device-plugin,Furiosa 공식 SDK·운영 도구,Kubernetes device plugin,클러스터에서 Furiosa NPU를 스케줄링 가능한 장치 리소스로 노출,Go,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
43,vllm-compression-part,https://github.com/furiosa-ai/vllm-compression-part,LLM 추론·압축·평가,vLLM compression integration fork,고성능 LLM serving 엔진에 압축/양자화 실험을 통합,Python,LLM; inference; serving; quantization; benchmark; vllm,GitHub 목록/설명 확인
44,inference-compression,https://github.com/furiosa-ai/inference-compression,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
45,furiosa-dra-driver-guide,https://github.com/furiosa-ai/furiosa-dra-driver-guide,Furiosa 공식 SDK·운영 도구,DRA driver guide,드라이버 설치·운영 절차를 문서화,HTML/Markdown,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
46,tokio-rdma,https://github.com/furiosa-ai/tokio-rdma,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level; rdma,저장소명·일반 upstream 특성 기반 추정
47,unicorn,https://github.com/furiosa-ai/unicorn,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",C,Rust; systems; binding; performance; low-level,GitHub 목록/설명 확인
48,tch-rs,https://github.com/furiosa-ai/tch-rs,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,GitHub 목록/설명 확인
49,furiosa-version,https://github.com/furiosa-ai/furiosa-version,Furiosa 공식 SDK·운영 도구,Furiosa NPU 공식 구성요소,Furiosa NPU 소프트웨어 스택의 개발·배포·운영 지원,Rust,FuriosaAI; NPU; SDK; RNGD/Warboy,저장소명·일반 upstream 특성 기반 추정
50,chrometracer,https://github.com/furiosa-ai/chrometracer,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Rust,,GitHub 목록/설명 확인
51,yolov5-demo,https://github.com/furiosa-ai/yolov5-demo,비전·응용 데모·RAG,YOLOv5 demo,YOLO 객체탐지 모델의 Furiosa 실행 예제 제공,Python,computer-vision; object-detection; demo; application; yolo,GitHub 목록/설명 확인
52,makefile-modifier,https://github.com/furiosa-ai/makefile-modifier,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
53,simple-evals,https://github.com/furiosa-ai/simple-evals,LLM 추론·압축·평가,Simple model evaluations,기초 LLM 평가 스크립트와 회귀 검증,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
54,kotaemon,https://github.com/furiosa-ai/kotaemon,비전·응용 데모·RAG,RAG document chat tool,문서 기반 질의응답/RAG 애플리케이션 검증과 레퍼런스 확보,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
55,ndarray-npy,https://github.com/furiosa-ai/ndarray-npy,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
56,bit-set,https://github.com/furiosa-ai/bit-set,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
57,serde-lite,https://github.com/furiosa-ai/serde-lite,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
58,Qwen3,https://github.com/furiosa-ai/Qwen3,LLM 추론·압축·평가,Qwen3 model code fork,Qwen 계열 모델 실행·평가·최적화 검증,Python,LLM; inference; serving; quantization; benchmark; qwen,GitHub 목록/설명 확인
59,onnxruntime-rs,https://github.com/furiosa-ai/onnxruntime-rs,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,저장소명·일반 upstream 특성 기반 추정
60,yolov7,https://github.com/furiosa-ai/yolov7,비전·응용 데모·RAG,YOLOv7 fork,객체탐지 모델 성능 비교와 NPU 호환성 실험,Python,computer-vision; object-detection; demo; application; yolo,GitHub 목록/설명 확인
61,lm-evaluation-harness,https://github.com/furiosa-ai/lm-evaluation-harness,LLM 추론·압축·평가,Language model evaluation harness fork,LLM 정량 평가 자동화,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
62,maturin,https://github.com/furiosa-ai/maturin,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
63,mlperf-log-parser,https://github.com/furiosa-ai/mlperf-log-parser,시스템 라이브러리·Rust/C/C++ 의존성,MLPerf log parser,벤치마크 로그 파싱과 결과 분석 자동화,Python,Rust; systems; binding; performance; low-level; mlperf,GitHub 목록/설명 확인
64,riscv-isa-sim,https://github.com/furiosa-ai/riscv-isa-sim,하드웨어 설계·검증,RISC-V ISA simulator fork,RISC-V 명령어 시뮬레이션과 검증,C++,hardware-verification; RISC-V; DV; coverage; simulation; riscv,GitHub 목록/설명 확인
65,opencv,https://github.com/furiosa-ai/opencv,비전·응용 데모·RAG,OpenCV fork,영상 전처리·컴퓨터비전 라이브러리 연동,C++,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
66,tflite-rs,https://github.com/furiosa-ai/tflite-rs,AI 런타임·프레임워크 연동,AI 프레임워크/런타임 연동,"ONNX, TensorFlow, PyTorch, MLIR 등 주요 AI 생태계와 NPU 컴파일·런타임 경로 연결",Rust,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR,저장소명·일반 upstream 특성 기반 추정
67,yolov5m,https://github.com/furiosa-ai/yolov5m,비전·응용 데모·RAG,YOLOv5m model fork,중간 규모 객체탐지 모델 최적화·검증,Python,computer-vision; object-detection; demo; application; yolo,GitHub 목록/설명 확인
68,gorilla,https://github.com/furiosa-ai/gorilla,기타·확인 필요,확인 필요,저장소명만으로 용도 식별이 제한되어 README 확인 필요,Python,,저장소명·일반 upstream 특성 기반 추정
69,systemc,https://github.com/furiosa-ai/systemc,하드웨어 설계·검증,SystemC fork,시스템 수준 하드웨어 모델링/시뮬레이션,C++,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
70,eyre,https://github.com/furiosa-ai/eyre,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
71,onnx-mlir,https://github.com/furiosa-ai/onnx-mlir,AI 런타임·프레임워크 연동,ONNX-MLIR fork,ONNX 모델 컴파일러 경로와 MLIR 기반 변환 검증,C++,runtime; compiler; ONNX; PyTorch/TensorFlow; MLIR; onnx,GitHub 목록/설명 확인
72,pyvsc,https://github.com/furiosa-ai/pyvsc,하드웨어 설계·검증,Python verification stimulus/coverage,하드웨어 검증용 constraint random·coverage 지원,Python,hardware-verification; RISC-V; DV; coverage; simulation,GitHub 목록/설명 확인
73,llm-compressor-compression-part,https://github.com/furiosa-ai/llm-compressor-compression-part,LLM 추론·압축·평가,LLM compression library fork,vLLM 배포 최적화를 위한 LLM 압축·양자화 알고리즘 적용,Python,LLM; inference; serving; quantization; benchmark,GitHub 목록/설명 확인
74,ndarray-linalg,https://github.com/furiosa-ai/ndarray-linalg,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
75,furiosa-client-python,https://github.com/furiosa-ai/furiosa-client-python,Furiosa 공식 SDK·운영 도구,Python client,Python 환경에서 Furiosa API/서비스 접근을 단순화,Python,FuriosaAI; NPU; SDK; RNGD/Warboy,GitHub 목록/설명 확인
76,color-eyre,https://github.com/furiosa-ai/color-eyre,시스템 라이브러리·Rust/C/C++ 의존성,시스템 라이브러리·저수준 의존성,"컴파일러, 런타임, 바인딩, 성능 측정, 디버깅에 필요한 기반 라이브러리 수정·검증",Rust,Rust; systems; binding; performance; low-level,저장소명·일반 upstream 특성 기반 추정
77,trl,https://github.com/furiosa-ai/trl,LLM 추론·압축·평가,LLM 추론/평가/압축 관련 저장소,대형언어모델을 Furiosa NPU 또는 비교 환경에서 실행·최적화·평가하기 위한 기반 확보,Python,LLM; inference; serving; quantization; benchmark,저장소명·일반 upstream 특성 기반 추정
78,efficientdet-pytorch,https://github.com/furiosa-ai/efficientdet-pytorch,비전·응용 데모·RAG,EfficientDet PyTorch fork,PyTorch 기반 객체탐지 모델 검증,Python,computer-vision; object-detection; demo; application,GitHub 목록/설명 확인
